2/12/23 3:00,2/12/23 4:00,6.24,949.69
2/12/23 4:00,2/12/23 5:00,6.75,881.88
2/12/23 5:00,2/12/23 6:00,6.74,885.08
2/12/23 6:00,2/12/23 7:00,6.72,804.15
2/12/23 7:00,2/12/23 8:00,6.27,864.83
2/12/23 8:00,2/12/23 9:00,6.51,1056.90
2/12/23 9:00,2/12/23 10:00,6.71,1004.78
2/12/23 10:00,2/12/23 11:00,6.59,1002.18
2/12/23 11:00,2/12/23 12:00,6.41,900.34
2/12/23 12:00,2/12/23 13:00,6.28,790.61
2/12/23 13:00,2/12/23 14:00,6.26,756.88
2/12/23 14:00,2/12/23 15:00,6.53,740.73
2/12/23 15:00,2/12/23 16:00,6.48,733.80
2/12/23 16:00,2/12/23 17:00,6.45,877.86
2/12/23 17:00,2/12/23 18:00,6.14,1123.45
2/12/23 18:00,2/12/23 19:00,6.30,1247.03
2/12/23 19:00,2/12/23 20:00,6.17,1002.63
2/12/23 20:00,2/12/23 21:00,6.10,1002.33
2/12/23 21:00,2/12/23 22:00,6.09,797.16
2/12/23 22:00,2/12/23 23:00,6.09,767.38
2/12/23 23:00,2/13/23 0:00,6.03,734.85
2/13/23 0:00,2/13/23 1:00,6.08,773.11
2/13/23 1:00,2/13/23 2:00,6.18,753.01
2/13/23 2:00,2/13/23 3:00,6.26,751.67
2/13/23 3:00,2/13/23 4:00,6.39,766.93
2/13/23 4:00,2/13/23 5:00,6.96,773.33
2/13/23 5:00,2/13/23 6:00,7.09,818.15
2/13/23 6:00,2/13/23 7:00,7.34,1170.72
2/13/23 7:00,2/13/23 8:00,6.84,1459.72
2/13/23 8:00,2/13/23 9:00,6.94,1505.28
2/13/23 9:00,2/13/23 10:00,6.86,1460.61
2/13/23 10:00,2/13/23 11:00,6.73,1290.50
2/13/23 11:00,2/13/23 12:00,6.46,1049.67
2/13/23 12:00,2/13/23 13:00,6.21,916.42
2/13/23 13:00,2/13/23 14:00,6.26,893.34
2/13/23 14:00,2/13/23 15:00,6.34,893.34
2/13/23 15:00,2/13/23 16:00,6.66,900.78
2/13/23 16:00,2/13/23 17:00,6.71,1118.39
2/13/23 17:00,2/13/23 18:00,6.81,1400.01
2/13/23 18:00,2/13/23 19:00,6.47,1651.19
2/13/23 19:00,2/13/23 20:00,6.26,1538.03
2/13/23 20:00,2/13/23 21:00,6.20,1398.52
2/13/23 21:00,2/13/23 22:00,6.22,1257.52
2/13/23 22:00,2/13/23 23:00,6.15,1198.34
2/13/23 23:00,2/14/23 0:00,6.19,1117.57
2/14/23 0:00,2/14/23 1:00,6.15,1010.17
2/14/23 1:00,2/14/23 2:00,6.33,985.59
2/14/23 2:00,2/14/23 3:00,6.32,984.39
2/14/23 3:00,2/14/23 4:00,6.38,984.10
2/14/23 4:00,2/14/23 5:00,7.02,985.59
2/14/23 5:00,2/14/23 6:00,7.21,1057.17
2/14/23 6:00,2/14/23 7:00,7.40,1238.09
2/14/23 7:00,2/14/23 8:00,6.92,1489.63
2/14/23 8:00,2/14/23 9:00,7.06,1541.69
2/14/23 9:00,2/14/23 10:00,7.02,1345.20
2/14/23 10:00,2/14/23 11:00,7.12,1029.83
2/14/23 11:00,2/14/23 12:00,7.08,1036.53
2/14/23 12:00,2/14/23 13:00,7.08,970.99
2/14/23 13:00,2/14/23 14:00,7.00,934.12
2/14/23 14:00,2/14/23 15:00,6.64,945.44
2/14/23 15:00,2/14/23 16:00,7.09,985.59
2/14/23 16:00,2/14/23 17:00,7.07,1137.39
2/14/23 17:00,2/14/23 18:00,7.03,1346.76
2/14/23 18:00,2/14/23 19:00,6.53,1489.63
2/14/23 19:00,2/14/23 20:00,6.38,1437.34
2/14/23 20:00,2/14/23 21:00,6.51,1309.52
2/14/23 21:00,2/14/23 22:00,6.34,1192.43
2/14/23 22:00,2/14/23 23:00,6.41,1124.95
2/14/23 23:00,2/15/23 0:00,6.35,1055.68
